episode,step,x,y,yaw_deg,speed_mps,steer_rad,min_lidar_m,closest_sector_deg,wp_index,wall_time_s
1,11,-0.964,-1.472,-85.5,0.745,-0.234,0.326,285,0,46.3
4,5628,3.407,-0.87,-24.1,1.19,-0.008,0.38,105,1,136.8
5,11,-1.447,-0.595,52.1,1.16,-0.019,0.2,345,0,136.9
6,11,-1.684,-1.009,174.3,1.103,-0.013,0.2,180,0,137.1
7,11,-1.4,-0.777,146.3,0.997,-0.022,0.121,225,0,137.2
8,11,3.426,6.642,151.2,1.115,-0.016,0.121,120,0,137.4
9,6220,4.732,-0.87,-38.6,-0.157,-0.06,0.38,120,1,173.8
10,17,2.667,-2.666,-110.9,1.41,-0.292,0.12,300,0,174.0
11,3970,2.699,-0.871,-18.8,-1.0,-0.155,0.379,105,1,196.1
12,3726,3.813,0.872,15.7,3.0,0.005,0.378,240,1,216.5
13,3089,2.336,-0.871,-68.4,-0.61,-0.058,0.38,150,1,233.9
15,4465,3.358,-0.871,-23.0,1.357,-0.009,0.379,105,1,270.8
16,4571,3.364,-0.871,-22.9,1.357,-0.009,0.379,105,1,290.4
17,4259,3.363,-0.871,-22.9,1.357,-0.009,0.379,105,1,309.6
18,11,3.146,6.138,71.4,1.091,-0.012,0.12,300,0,309.7
19,4690,3.353,-0.872,-22.9,1.358,-0.009,0.378,105,1,329.3
20,6421,3.506,-0.87,-30.1,0.976,-0.261,0.38,120,1,365.6
21,11,1.173,-0.401,159.9,-1.0,-0.068,0.121,120,0,365.7
22,11,0.258,1.789,174.0,-0.162,0.05,0.128,300,0,365.9
23,3195,1.318,0.872,65.3,-1.0,0.161,0.378,195,0,384.7
24,3571,1.334,0.873,57.9,-1.0,0.288,0.378,210,0,405.0
25,2088,2.191,-0.906,-56.6,3.0,-0.277,0.349,135,0,419.0
26,4085,2.068,0.87,36.5,1.385,-0.22,0.38,225,0,441.1
28,3161,3.37,0.87,22.5,1.547,0.003,0.379,240,1,458.3
29,3265,3.383,0.872,22.5,1.548,0.004,0.378,240,1,471.7
30,11,4.108,1.01,81.6,1.164,-0.016,0.24,150,1,471.8
31,3195,3.389,0.872,22.5,1.547,0.004,0.378,240,1,485.0
32,11,-1.477,-1.001,-103.3,1.002,-0.027,0.249,180,0,485.1
33,1,-40.688,-15.694,28.9,-1.0,-0.05,10.0,0,0,485.2
34,4943,2.617,-0.873,-32.5,-1.0,0.141,0.377,120,1,513.1
35,11,-0.292,-0.262,-96.8,1.17,0.244,0.12,300,0,513.2
36,1,-52.181,-46.562,116.4,0.706,-0.05,10.0,0,0,513.4
37,4466,2.237,0.874,50.5,0.83,0.083,0.376,210,1,539.5
38,3,-3.108,0.357,-60.1,-0.241,-0.05,0.121,120,0,539.7
39,4412,1.84,0.87,60.0,3.0,-0.305,0.38,195,0,566.0
40,4917,3.153,-0.872,-16.6,1.152,0.067,0.378,105,1,594.8
42,11,-1.5,0.792,67.1,1.219,0.063,0.145,135,0,602.7
43,1,-5.206,-15.909,158.0,1.11,0.05,10.0,0,0,602.8
44,1956,1.31,0.872,57.3,1.029,0.015,0.378,210,0,610.9
45,1,-3.893,0.35,155.9,1.142,0.05,0.121,120,0,611.0
46,11,6.935,-0.13,165.2,1.019,0.02,0.121,120,0,611.2
47,4009,1.519,0.871,58.6,-0.5,0.018,0.379,210,0,635.1
48,3117,2.667,-0.87,-27.4,3.0,0.204,0.379,105,1,652.7
49,11,8.08,0.27,16.1,1.072,0.05,0.123,300,0,652.8
50,3137,1.226,0.87,54.7,1.118,0.075,0.38,210,0,671.4
51,4651,3.545,0.87,53.5,0.557,-0.044,0.38,210,1,697.5
52,2099,1.816,0.877,52.3,3.0,0.297,0.374,210,0,709.5
53,1469,1.073,0.872,84.1,0.708,-0.049,0.378,180,0,718.2
55,1672,1.423,0.871,56.3,1.163,-0.007,0.379,210,0,732.7
56,1662,1.418,0.873,56.3,1.163,-0.007,0.377,210,0,739.5
57,1694,1.438,0.873,56.3,1.163,-0.007,0.377,210,0,746.4
58,2229,1.427,0.87,56.3,1.164,-0.007,0.38,210,0,755.6
59,1772,1.435,0.872,56.3,1.163,-0.007,0.378,210,0,763.1
60,3631,1.968,0.87,40.8,3.0,0.2,0.379,225,0,784.1
