episode,step,total_reward,r_progress,r_heading,r_lane,r_wall_soft,r_wall_danger,r_speed_wall,r_time_penalty,r_checkpoint,min_lidar_m,wp_index,x,y,speed_mps,steer_rad
0,100,20.847,0.0,0.157,0.107,0.0,0.0,0.0,-0.05,0.0,1.25,0,0.102,-0.0,2.67,-0.079
0,200,38.643,0.054,0.153,0.102,0.0,0.0,0.0,-0.05,0.0,1.249,0,0.174,0.001,2.822,0.099
0,300,56.092,0.203,0.155,0.1,0.0,0.0,0.0,-0.05,0.0,1.245,0,0.248,0.005,-1.0,-0.005
0,400,71.59,-0.158,0.156,0.1,0.0,0.0,0.0,-0.05,0.0,1.244,0,0.302,0.006,0.01,0.117
0,500,86.518,-0.034,0.156,0.099,0.0,0.0,0.0,-0.05,0.0,1.243,0,0.353,0.007,1.308,-0.141
0,600,103.04,0.035,0.156,0.098,0.0,0.0,0.0,-0.05,0.0,1.243,0,0.419,0.007,-0.547,-0.342
0,700,118.804,-0.125,0.152,0.098,0.0,0.0,0.0,-0.05,0.0,1.246,0,0.479,0.004,-1.0,0.129
0,800,134.167,0.045,0.152,0.099,0.0,0.0,0.0,-0.05,0.0,1.248,0,0.533,-0.002,-1.0,0.215
0,900,149.116,0.016,0.153,0.096,0.0,0.0,0.0,-0.05,0.0,1.243,0,0.585,-0.007,0.482,0.02
0,1000,163.028,-0.001,0.153,0.092,0.0,0.0,0.0,-0.05,0.0,1.239,0,0.63,-0.011,3.0,0.192
0,1100,179.751,0.396,0.156,0.092,0.0,0.0,0.0,-0.05,0.0,1.236,0,0.705,-0.014,-1.0,0.005
0,1200,197.471,0.047,0.156,0.092,0.0,0.0,0.0,-0.05,0.0,1.236,0,0.79,-0.014,-0.075,-0.399
0,1300,214.978,-0.012,0.155,0.094,0.0,0.0,0.0,-0.05,0.0,1.239,0,0.872,-0.011,3.0,-0.11
0,1400,231.541,0.015,0.156,0.097,0.0,0.0,0.0,-0.05,0.0,1.241,0,0.941,-0.009,3.0,-0.008
0,1500,250.045,0.054,0.155,0.096,0.0,0.0,0.0,-0.05,0.0,1.241,0,1.029,-0.009,0.104,-0.21
0,1600,265.715,0.073,0.153,0.09,0.0,0.0,0.0,-0.05,0.0,1.238,0,1.092,-0.012,-0.932,-0.208
0,1700,280.129,0.004,0.153,0.087,0.0,0.0,0.0,-0.05,0.0,1.233,0,1.148,-0.017,2.877,0.0
0,1800,295.995,0.18,0.156,0.085,0.0,0.0,0.0,-0.05,0.0,1.229,0,1.222,-0.021,3.0,0.012
0,1900,311.34,0.185,0.155,0.083,0.0,0.0,0.0,-0.05,0.0,1.228,0,1.291,-0.022,2.067,0.026
0,2000,326.66,0.076,0.157,0.084,0.0,0.0,0.0,-0.05,0.0,1.228,0,1.36,-0.022,0.867,0.07
0,2100,479.158,0.014,0.147,0.067,0.0,0.0,0.0,-0.05,0.0,1.22,1,1.809,0.03,-0.973,0.079
0,2200,492.145,0.112,0.145,0.05,0.0,0.0,0.0,-0.05,0.0,1.206,1,1.879,0.044,2.235,0.226
0,2300,499.629,0.039,0.142,-0.064,-0.096,0.0,0.0,-0.05,0.0,1.19,1,1.937,0.06,-0.999,-0.074
0,2400,491.321,0.14,0.141,-0.308,-0.317,0.0,0.0,-0.05,0.0,1.168,1,2.003,0.082,0.578,-0.195
0,2500,456.085,0.009,0.144,-0.574,-0.562,0.0,0.0,-0.05,0.0,1.144,1,2.093,0.106,-0.579,-0.134
0,2600,395.123,0.12,0.146,-0.801,-0.769,0.0,0.0,-0.05,0.0,1.123,1,2.185,0.127,0.454,-0.195
0,2700,315.533,0.0,0.149,-0.957,-0.914,0.0,0.0,-0.05,0.0,1.109,1,2.262,0.142,2.917,-0.348
0,2800,223.99,0.026,0.151,-1.073,-1.022,0.0,0.0,-0.05,0.0,1.098,1,2.365,0.152,1.513,0.015
0,2900,120.203,0.161,0.151,-1.13,-1.073,0.0,0.0,-0.05,0.0,1.093,1,2.426,0.158,1.734,-0.089
0,3000,13.299,0.458,0.153,-1.191,-1.131,0.0,0.0,-0.05,0.0,1.087,1,2.518,0.163,3.0,-0.025
0,3100,-98.071,0.0,0.153,-1.231,-1.167,0.0,0.0,-0.05,0.0,1.083,1,2.616,0.167,1.153,0.205
0,3200,-213.022,0.197,0.152,-1.282,-1.212,0.0,0.0,-0.05,0.0,1.079,1,2.721,0.171,0.24,0.061
0,3300,-335.05,0.436,0.153,-1.313,-1.242,0.0,0.0,-0.05,0.0,1.076,1,2.8,0.174,1.894,-0.034
0,3400,-458.735,0.227,0.151,-1.382,-1.303,0.0,0.0,-0.05,0.0,1.07,1,2.913,0.18,2.87,-0.042
0,3500,-591.529,-0.002,0.153,-1.424,-1.343,0.0,0.0,-0.05,0.0,1.066,1,2.99,0.184,3.0,-0.313
