episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-9692.265,4097,1,7,collision,4.222,-0.9,26.1
2,-13843.979,4646,1,7,collision,5.001,-0.871,52.7
3,-8873.991,6584,2,7,collision,6.66,-0.874,90.6
4,-1480.779,41,0,7,collision,-0.954,0.695,90.9
5,-20931.647,4584,1,7,collision,4.043,-0.871,117.2
6,10.005,48,0,7,timeout,0.049,-0.0,117.6
7,-12026.637,3672,1,7,collision,4.584,-0.873,132.7
8,-1288.434,41,1,7,collision,2.397,0.346,133.0
9,-13158.916,4410,1,7,collision,4.586,-0.872,151.4
10,-12468.068,4068,1,7,collision,4.587,-0.872,167.4
11,-12455.73,4149,1,7,collision,4.587,-0.872,183.9
12,-19018.47,7277,2,7,collision,6.844,-0.872,224.1
13,-12331.621,4810,1,7,collision,4.677,-0.873,250.2
14,-16749.319,6081,2,7,collision,6.197,-0.87,282.8
15,-1551.101,1832,0,7,timeout,1.296,-0.475,293.0
16,-12312.363,4927,1,7,collision,5.737,-0.871,312.5
17,-12210.709,4964,1,7,collision,5.739,-0.871,332.2
18,-12107.402,4983,1,7,collision,5.741,-0.872,351.8
19,-969.739,41,1,7,collision,2.709,0.33,352.0
20,-12061.755,4916,1,7,collision,5.741,-0.871,371.7
21,-10158.9,2479,0,7,collision,1.603,-0.87,385.3
22,-5771.166,4665,1,7,collision,5.122,-0.872,411.3
23,-7717.325,4057,0,7,collision,2.216,-1.026,433.7
24,-7194.424,4491,1,7,collision,4.925,-0.876,457.4
25,-1401.939,41,0,7,collision,0.19,3.529,457.7
26,-4463.228,4267,1,7,timeout,4.227,-0.581,480.5
27,-10312.08,2887,1,7,collision,2.14,-0.871,492.0
28,-9453.53,2620,1,7,collision,2.135,-0.871,502.3
29,-9582.029,3148,1,7,collision,2.145,-0.871,514.9
30,-13922.427,5688,1,7,collision,2.156,-0.871,537.5
31,-1134.908,41,0,7,collision,-0.264,-0.885,537.9
32,-18812.084,5968,1,7,collision,5.648,-0.874,570.1
33,-1001.383,41,0,7,collision,1.19,-0.528,570.4
34,-11032.104,5672,1,7,collision,5.336,-0.923,601.2
35,-14556.152,5440,1,7,collision,4.722,-0.872,629.6
36,373.885,2879,1,7,timeout,3.546,-0.02,645.7
37,-8547.904,8000,4,7,timeout,9.884,5.311,677.2
38,-12748.463,8000,2,7,timeout,9.212,0.684,708.9
39,-8652.459,8000,4,7,timeout,9.884,5.339,740.6
40,-8493.965,8000,4,7,timeout,9.886,5.353,772.5
